#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
1 1 1 20 312.0 882.0 -1  -1 
1 1 1 21 356.0 944.0 -1  -1 
1 1 1 22 395.0 1016.0 -1  -1 
1 1 1 23 453.0 1072.0 -1  -1 
1 1 1 24 503.0 1135.0 -1  -1 
1 1 1 25 534.0 1201.0 -1  -1 
1 1 1 26 573.0 1275.0 -1  -1 
1 1 1 27 614.0 1334.0 -1  -1 
1 1 1 28 632.0 1391.0 -1  -1 
1 1 1 29 672.0 1461.0 -1  -1 
1 1 1 30 708.0 1529.0 -1  -1 
1 1 1 31 759.0 1590.0 -1  -1 
1 1 1 32 825.0 1660.0 -1  -1 
1 1 1 33 847.0 1717.0 -1  -1 
1 1 2 1 24.0 26.0 -1  -1 
1 1 2 2 32.0 42.0 -1  -1 
1 1 2 3 35.0 68.0 -1  -1 
1 1 2 4 45.0 108.0 -1  -1 
1 1 2 5 63.0 120.0 -1  -1 
1 1 2 6 78.0 168.0 -1  -1 
1 1 2 7 98.0 202.0 -1  -1 
1 1 2 8 124.0 242.0 -1  -1 
1 1 2 9 150.0 280.0 -1  -1 
1 1 2 10 180.0 327.0 -1  -1 
1 1 2 11 206.0 372.0 -1  -1 
1 1 2 12 236.0 428.0 -1  -1 
1 1 2 13 268.0 483.0 -1  -1 
1 1 2 14 304.0 537.0 -1  -1 
1 1 2 15 335.0 585.0 -1  -1 
1 1 2 16 378.0 638.0 -1  -1 
1 1 2 17 412.0 705.0 -1  -1 
1 1 2 18 459.0 763.0 -1  -1 
1 1 2 19 499.0 834.0 -1  -1 
1 1 2 20 547.0 894.0 -1  -1 
1 1 2 21 601.0 956.0 -1  -1 
1 1 2 22 643.0 1017.0 -1  -1 
1 1 2 23 693.0 1087.0 -1  -1 
1 1 2 24 746.0 1141.0 -1  -1 
1 1 2 25 788.0 1210.0 -1  -1 
1 1 2 26 843.0 1279.0 -1  -1 
1 1 2 27 896.0 1336.0 -1  -1 
1 1 2 28 966.0 1401.0 -1  -1 
1 1 2 29 1008.0 1466.0 -1  -1 
1 1 2 30 1074.0 1522.0 -1  -1 
1 1 2 31 1136.0 1578.0 -1  -1 
1 1 2 32 1209.0 1621.0 -1  -1 
1 1 2 33 1266.0 1683.0 -1  -1 
1 1 2 34 1558.0 1730.0 -1  -1 
1 1 2 35 1733.0 1770.0 -1  -1 
1 2 1 2 6.0 22.0 -1  -1 
1 2 1 3 12.0 51.0 24.0 41.0
