#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
1 1 3 10 84.0 328.0 250.0 327.0
1 1 3 11 95.0 373.0 309.0 373.0
1 1 3 12 105.0 423.0 337.0 423.0
1 1 3 13 120.0 470.0 390.0 470.0
1 1 3 14 141.0 528.0 435.0 528.0
1 1 3 15 160.0 578.0 -1  -1 
1 1 3 16 182.0 633.0 -1  -1 
1 1 3 17 201.0 687.0 -1  -1 
1 1 3 18 215.0 770.0 -1  -1 
1 1 3 19 235.0 813.0 -1  -1 
1 1 3 20 307.0 853.0 -1  -1 
1 1 3 21 328.0 791.0 -1  -1 
1 1 3 22 392.0 651.0 -1  -1 
1 1 3 23 430.0 432.0 -1  -1 
1 1 4 2 6.0 33.0 -1  -1 
1 1 4 3 11.0 55.0 22.0 55.0
1 1 4 4 16.0 82.0 16.0 82.0
1 1 4 5 23.0 116.0 58.0 116.0
1 1 4 6 31.0 150.0 76.0 150.0
1 1 4 7 42.0 187.0 108.0 187.0
1 1 4 8 52.0 232.0 139.0 232.0
1 1 4 9 60.0 275.0 185.0 275.0
1 1 4 10 75.0 315.0 228.0 315.0
1 1 4 11 89.0 366.0 272.0 366.0
1 1 4 12 104.0 410.0 316.0 410.0
1 1 4 13 119.0 462.0 376.0 462.0
1 1 4 14 146.0 514.0 420.0 514.0
1 1 4 15 163.0 564.0 504.0 564.0
1 1 4 16 188.0 613.0 557.0 613.0
1 1 4 17 216.0 675.0 -1  -1 
1 1 4 18 249.0 735.0 -1  -1 
1 1 4 19 281.0 792.0 -1  -1 
1 1 4 20 331.0 693.0 -1  -1 
1 1 4 21 385.0 475.0 -1  -1 
1 1 4 22 546.0 548.0 -1  -1 
1 2 3 2 6.0 32.0 -1  -1 
1 2 3 3 12.0 61.0 22.0 54.0
1 2 3 4 18.0 82.0 18.0 82.0
1 2 3 5 27.0 118.0 54.0 117.0
1 2 3 6 36.0 154.0 83.0 150.0
1 2 3 7 44.0 193.0 102.0 192.0
1 2 3 8 57.0 233.0 136.0 232.0
1 2 3 9 66.0 296.0 181.0 280.0
1 2 3 10 81.0 329.0 207.0 322.0
1 2 3 11 97.0 379.0 261.0 371.0
1 2 3 12 134.0 425.0 294.0 425.0
1 2 3 13 148.0 485.0 360.0 471.0
1 2 3 14 164.0 520.0 410.0 514.0
1 2 3 15 184.0 579.0 470.0 573.0
1 2 3 16 204.0 680.0 -1  -1 
1 2 3 17 226.0 731.0 -1  -1 
1 2 3 18 274.0 796.0 -1  -1 
1 2 3 19 290.0 854.0 -1  -1 
1 2 3 20 367.0 907.0 -1  -1 
1 2 3 21 416.0 926.0 -1  -1 
1 2 3 22 446.0 998.0 -1  -1 
1 2 3 23 457.0 806.0 -1  -1 
1 2 4 2 5.0 30.0 -1  -1 
1 2 4 3 12.0 52.0 27.0 50.0
1 2 4 4 17.0 82.0 17.0 82.0
1 2 4 5 23.0 123.0 57.0 117.0
1 2 4 6 31.0 149.0 78.0 149.0
1 2 4 7 40.0 194.0 106.0 193.0
1 2 4 8 48.0 233.0 133.0 233.0
1 2 4 9 60.0 276.0 168.0 276.0
1 2 4 10 73.0 320.0 204.0 320.0
1 2 4 11 83.0 368.0 263.0 368.0
1 2 4 12 92.0 419.0 308.0 419.0
1 2 4 13 107.0 464.0 357.0 464.0
1 2 4 14 122.0 517.0 421.0 517.0
1 2 4 15 148.0 572.0 461.0 572.0
1 2 4 16 196.0 636.0 513.0 636.0
1 2 4 17 218.0 691.0 580.0 691.0
1 2 4 18 234.0 748.0 651.0 748.0
1 2 4 19 255.0 826.0 -1  -1 
1 2 4 20 292.0 875.0 -1  -1 
1 2 4 21 345.0 921.0 -1  -1 
1 2 4 22 367.0 679.0 -1  -1 
1 2 4 23 404.0 620.0 -1  -1 
1 3 1 2 5.0 27.0 -1  -1 
1 3 1 3 12.0 49.0 22.0 41.0
1 3 1 4 18.0 66.0 19.0 65.0
1 3 1 5 27.0 102.0 53.0 95.0
1 3 1 6 35.0 128.0 72.0 128.0
1 3 1 7 45.0 162.0 96.0 162.0
1 3 1 8 56.0 213.0 121.0 202.0
1 3 1 9 68.0 248.0 146.0 244.0
1 3 1 10 81.0 287.0 191.0 287.0
1 3 1 11 94.0 329.0 227.0 329.0
1 3 1 12 104.0 386.0 277.0 378.0
1 3 1 13 121.0 422.0 321.0 422.0
1 3 1 14 140.0 474.0 369.0 474.0
1 3 1 15 161.0 525.0 430.0 517.0
1 3 1 16 175.0 570.0 483.0 570.0
1 3 1 17 191.0 647.0 543.0 641.0
1 3 1 18 228.0 700.0 645.0 700.0
1 3 1 19 260.0 747.0 -1  -1 
1 3 1 20 296.0 819.0 -1  -1 
1 3 1 21 350.0 792.0 -1  -1 
1 3 1 22 409.0 749.0 -1  -1 
1 3 1 23 433.0 525.0 -1  -1 
1 3 1 24 458.0 485.0 -1  -1 
1 3 4 2 6.0 35.0 -1  -1 
1 3 4 3 11.0 54.0 22.0 54.0
1 3 4 4 18.0 82.0 19.0 82.0
1 3 4 5 26.0 114.0 51.0 114.0
1 3 4 6 35.0 150.0 71.0 150.0
1 3 4 7 45.0 191.0 100.0 191.0
1 3 4 8 53.0 239.0 129.0 239.0
1 3 4 9 67.0 275.0 163.0 275.0
1 3 4 10 79.0 320.0 194.0 320.0
1 3 4 11 87.0 363.0 235.0 363.0
1 3 4 12 97.0 416.0 282.0 416.0
1 3 4 13 111.0 469.0 329.0 462.0
1 3 4 14 122.0 517.0 372.0 517.0
1 3 4 15 149.0 575.0 428.0 575.0
1 3 4 16 171.0 630.0 511.0 630.0
1 3 4 17 188.0 685.0 573.0 685.0
1 3 4 18 233.0 752.0 659.0 752.0
1 3 4 19 252.0 803.0 -1  -1 
1 3 4 20 290.0 830.0 -1  -1 
1 3 4 21 316.0 911.0 -1  -1 
1 3 4 22 351.0 465.0 -1  -1 
1 3 4 23 388.0 507.0 -1  -1 
1 3 4 24 404.0 406.0 -1  -1 
1 3 4 25 447.0 449.0 -1  -1 
1 4 1 2 5.0 30.0 -1  -1 
1 4 1 3 11.0 53.0 19.0 53.0
1 4 1 4 17.0 82.0 17.0 82.0
1 4 1 5 24.0 116.0 50.0 116.0
1 4 1 6 32.0 151.0 65.0 151.0
1 4 1 7 39.0 190.0 91.0 190.0
1 4 1 8 49.0 227.0 120.0 227.0
1 4 1 9 59.0 275.0 153.0 275.0
1 4 1 10 76.0 322.0 188.0 322.0
1 4 1 11 86.0 363.0 210.0 363.0
1 4 1 12 98.0 413.0 270.0 413.0
1 4 1 13 116.0 457.0 323.0 457.0
1 4 1 14 129.0 508.0 380.0 508.0
1 4 1 15 148.0 563.0 451.0 563.0
1 4 1 16 167.0 628.0 506.0 628.0
1 4 1 17 182.0 679.0 577.0 679.0
1 4 1 18 205.0 730.0 629.0 730.0
1 4 1 19 234.0 790.0 -1  -1 
1 4 1 20 270.0 732.0 -1  -1 
1 4 1 21 446.0 772.0 -1  -1 
1 4 1 22 363.0 402.0 -1  -1 
1 4 2 2 5.0 55.0 -1  -1 
1 4 2 3 10.0 50.0 -1  -1 
1 4 2 4 17.0 81.0 17.0 81.0
1 4 2 5 21.0 115.0 51.0 115.0
1 4 2 6 28.0 148.0 71.0 148.0
1 4 2 7 35.0 189.0 98.0 189.0
1 4 2 8 46.0 227.0 121.0 227.0
1 4 2 9 57.0 273.0 160.0 273.0
1 4 2 10 64.0 318.0 201.0 318.0
1 4 2 11 77.0 362.0 248.0 362.0
1 4 2 12 98.0 412.0 293.0 412.0
1 4 2 13 108.0 461.0 348.0 461.0
1 4 2 14 121.0 510.0 424.0 510.0
1 4 2 15 146.0 567.0 500.0 567.0
