#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi2maxZid ESi1minAid ESi1maxZid
1 4 1 6 37.0 152.0 68.0 152.0
1 4 1 7 50.0 193.0 91.0 193.0
1 4 1 8 60.0 235.0 114.0 235.0
1 4 1 9 75.0 277.0 137.0 277.0
1 4 1 10 90.0 328.0 164.0 324.0
1 4 1 11 108.0 370.0 197.0 370.0
1 4 1 12 125.0 424.0 243.0 424.0
1 4 1 13 146.0 469.0 298.0 469.0
1 4 1 14 171.0 533.0 345.0 524.0
1 4 1 15 213.0 578.0 392.0 578.0
1 4 1 16 242.0 640.0 434.0 640.0
1 4 1 17 280.0 699.0 -1  -1 
1 4 1 18 306.0 757.0 -1  -1 
1 4 1 19 341.0 814.0 -1  -1 
1 4 1 20 379.0 876.0 -1  -1 
1 4 1 21 411.0 943.0 -1  -1 
1 4 1 22 440.0 1012.0 -1  -1 
1 4 1 23 469.0 1066.0 -1  -1 
1 4 1 24 504.0 1141.0 -1  -1 
1 4 1 25 558.0 1207.0 -1  -1 
1 4 1 26 604.0 1272.0 -1  -1 
1 4 1 27 663.0 1350.0 -1  -1 
1 4 1 28 705.0 1407.0 -1  -1 
1 4 1 29 752.0 1475.0 -1  -1 
1 4 1 30 812.0 1546.0 -1  -1 
1 4 1 31 856.0 1614.0 -1  -1 
1 4 1 32 895.0 1651.0 -1  -1 
1 4 1 33 927.0 1738.0 -1  -1 
1 4 1 36 1235.0 1974.0 -1  -1 
1 4 3 2 6.0 47.0 -1  -1 
1 4 3 3 12.0 71.0 19.0 55.0
1 4 3 4 18.0 86.0 22.0 86.0
1 4 3 5 27.0 116.0 43.0 116.0
1 4 3 6 36.0 156.0 61.0 154.0
1 4 3 7 45.0 197.0 82.0 192.0
1 4 3 8 56.0 235.0 110.0 235.0
1 4 3 9 70.0 282.0 140.0 279.0
1 4 3 10 83.0 327.0 173.0 327.0
1 4 3 11 98.0 374.0 212.0 372.0
1 4 3 12 115.0 426.0 261.0 420.0
1 4 3 13 133.0 480.0 307.0 471.0
1 4 3 14 154.0 527.0 346.0 523.0
1 4 3 15 180.0 580.0 401.0 580.0
1 4 3 16 198.0 639.0 456.0 636.0
1 4 3 17 222.0 691.0 -1  -1 
1 4 3 18 254.0 759.0 -1  -1 
1 4 3 19 279.0 815.0 -1  -1 
1 4 3 20 311.0 879.0 -1  -1 
1 4 3 21 349.0 947.0 -1  -1 
1 4 3 22 387.0 1011.0 -1  -1 
1 4 3 23 426.0 1070.0 -1  -1 
1 4 3 24 471.0 1136.0 -1  -1 
1 4 3 25 506.0 1208.0 -1  -1 
1 4 3 26 539.0 1281.0 -1  -1 
1 4 3 27 578.0 1346.0 -1  -1 
1 4 3 28 613.0 1421.0 -1  -1 
1 4 3 29 645.0 1488.0 -1  -1 
1 4 3 30 691.0 1546.0 -1  -1 
1 4 3 31 715.0 1626.0 -1  -1 
1 4 3 32 778.0 1685.0 -1  -1 
1 4 3 33 819.0 1765.0 -1  -1 
1 4 3 34 864.0 1849.0 -1  -1 
1 4 3 35 916.0 1355.0 -1  -1 
1 4 3 36 931.0 1955.0 -1  -1 
1 4 3 37 1006.0 1821.0 -1  -1 
2 2 1 2 7.0 48.0 -1  -1 
2 2 1 3 11.0 71.0 -1  -1 
2 2 1 4 16.0 86.0 16.0 86.0
2 2 1 5 24.0 120.0 55.0 120.0
2 2 1 6 33.0 153.0 71.0 153.0
2 2 1 7 41.0 196.0 95.0 196.0
2 2 1 8 52.0 239.0 117.0 239.0
2 2 1 9 60.0 286.0 152.0 286.0
2 2 1 10 73.0 327.0 181.0 327.0
2 2 1 11 86.0 375.0 216.0 375.0
2 2 1 12 96.0 430.0 263.0 430.0
2 2 1 13 114.0 480.0 308.0 480.0
2 2 1 14 128.0 539.0 354.0 539.0
2 2 1 15 154.0 586.0 411.0 586.0
2 2 1 16 175.0 647.0 467.0 647.0
2 2 1 17 189.0 707.0 522.0 707.0
2 2 1 18 230.0 764.0 578.0 764.0
2 2 1 19 251.0 828.0 629.0 828.0
2 2 1 20 282.0 890.0 685.0 890.0
2 2 1 21 314.0 961.0 -1  -1 
2 2 1 22 341.0 1030.0 -1  -1 
2 2 1 23 378.0 1090.0 -1  -1 
2 2 1 24 413.0 1152.0 -1  -1 
2 2 1 25 451.0 1229.0 -1  -1 
2 2 1 26 469.0 1295.0 -1  -1 
2 2 1 27 506.0 1371.0 -1  -1 
2 2 1 28 547.0 1426.0 -1  -1 
2 2 1 29 578.0 1504.0 -1  -1 
2 2 1 30 616.0 1575.0 -1  -1 
2 2 1 31 657.0 1638.0 -1  -1 
2 2 1 32 705.0 1706.0 -1  -1 
2 2 1 33 740.0 1778.0 -1  -1 
2 2 1 34 803.0 1810.0 -1  -1 
2 2 1 35 855.0 1735.0 -1  -1 
2 2 1 36 874.0 1808.0 -1  -1 
2 2 1 37 975.0 1962.0 -1  -1 
2 2 2 2 7.0 46.0 -1  -1 
2 2 2 3 12.0 64.0 -1  -1 
2 2 2 4 17.0 85.0 20.0 85.0
2 2 2 5 26.0 118.0 52.0 118.0
2 2 2 6 36.0 152.0 70.0 152.0
2 2 2 7 47.0 201.0 100.0 193.0
2 2 2 8 57.0 235.0 128.0 235.0
2 2 2 9 67.0 281.0 160.0 280.0
2 2 2 10 81.0 323.0 199.0 323.0
2 2 2 11 94.0 374.0 232.0 370.0
2 2 2 12 108.0 422.0 270.0 418.0
2 2 2 13 124.0 471.0 331.0 471.0
2 2 2 14 148.0 520.0 380.0 520.0
2 2 2 15 177.0 587.0 443.0 574.0
2 2 2 16 201.0 634.0 -1  -1 
2 2 2 17 225.0 703.0 -1  -1 
2 2 2 18 247.0 743.0 -1  -1 
2 2 2 19 274.0 811.0 -1  -1 
